StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q2_15,Q2_16,Q3_Browser,Q3_Version,Q3_Operating System,Q3_Resolution,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,Q7_First Click,Q7_Last Click,Q7_Page Submit,Q7_Click Count,Q8,Q9_First Click,Q9_Last Click,Q9_Page Submit,Q9_Click Count,Q10,Q11_First Click,Q11_Last Click,Q11_Page Submit,Q11_Click Count,Q12,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q14,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,Q16,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,Q19_First Click,Q19_Last Click,Q19_Page Submit,Q19_Click Count,Q20,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,Q22,Q23_First Click,Q23_Last Click,Q23_Page Submit,Q23_Click Count,Q24,Q25_First Click,Q25_Last Click,Q25_Page Submit,Q25_Click Count,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,Q28,Q29_First Click,Q29_Last Click,Q29_Page Submit,Q29_Click Count,Q30,Q31_First Click,Q31_Last Click,Q31_Page Submit,Q31_Click Count,Q34,user_id,group,q1,q2,q3,q4,q5
2024-10-02 12:44:14,2024-10-02 12:54:03,0,113.32.130.192,100,588,1,2024-10-02 12:54:03,R_46vDtVQSnvp2bRL,,,,,35.9418,139.6173,anonymous,JA,2,2,4,4,2,4,4,3,2,1,2,1,3,1,1,1,Safari iPhone,17.7,iPhone,375x667,2.866,2.866,18.904,1,2,2.167,3.551,4.74,3,2,1.24,5.274,5.876,4,2,2.658,8.876,10.178,4,4,1.545,4.061,5.2,3,5,1.466,6.149,6.884,4,5,6.294,8.994,9.817,3,0,0,4.886,0,2,7.251,8.467,9.804,3,4,1.924,5.375,6.816,4,4,1.596,2.169,4.51,2,0,0,8.214,0,2,8.897,13.296,14.635,4,4,16.806,30.973,31.744,3,今日は上の子の体育祭のため、いつもより早く起きてお弁当を作った。リクエストのあったオムライスとおかずもいつもより豪華にした。喜んでくれるといいなと思う。下の子はテスト前で疲れているのかなかなか起きてこない。学校に間に合うようギリギリに起こして、支度をさせてから見送った。,5289773,groupc,あてはまらない,あまりあてはまらない,どちらでもない,ややあてはまる,あてはまる
2024-10-02 12:49:49,2024-10-02 12:55:50,0,114.162.133.6,100,361,1,2024-10-02 12:55:51,R_4psbJ5skIjnzbOB,,,,,38.2951,140.7859,anonymous,JA,3,3,2,3,2,2,3,2,3,5,2,4,3,2,4,4,Chrome,129.0.0.0,Windows NT 10.0,1536x864,0,0,10.377,0,4,1.749,1.749,4.329,1,4,1.918,1.918,4.283,1,4,2.365,2.365,4.369,1,5,2.858,2.858,4.597,1,5,3.849,3.849,5.46,1,5,3.642,3.642,5.558,1,0,0,7.12,0,4,2.602,2.602,4.46,1,4,3.339,3.339,5.277,1,4,3.792,3.792,4.892,1,0,0,7.174,0,4,3.427,3.427,4.851,1,5,2.535,2.535,4.016,1,本日も天気が良く、暑いくらいの気温でした。朝からくしゃみが何度か出たので、風邪などひかないように気を付けようと思いました。趣味の活動に集中していたところ、胸のあたりに痛みを感じることがあり、少し気になりました。原因ははっきりとは分かりませんが、休む時間を今日も多く取ろうと考えています。先月は晴れる日が少なく、日照不足と聞いたので今日のような晴れた日はとても貴重で有難く感じました。,4409144,groupa,あてはまらない,あまりあてはまらない,どちらでもない,ややあてはまる,あてはまる
2024-10-02 12:50:04,2024-10-02 12:57:39,0,133.204.177.96,100,455,1,2024-10-02 12:57:39,R_4viD7EkhEaiS1QF,,,,,33.3174,130.4906,anonymous,JA,3,2,4,3,2,3,3,3,1,3,2,1,2,1,1,2,Edge,129.0.0.0,Windows NT 10.0,1280x720,0,0,23.996,0,4,1.528,1.528,3.943,1,5,2.293,2.293,4.08,1,4,4.389,6.028,7.777,2,5,1.883,3.769,4.482,2,4,1.984,1.984,3.708,1,4,2.331,2.331,4.101,1,0,0,4.274,0,4,1.414,1.414,3.462,1,4,2.035,2.035,3.877,1,5,1.429,1.429,3.567,1,0,0,5.602,0,4,1.492,1.492,3.576,1,3,3.598,3.598,4.515,1,今日は雨が降っていて、あまり出かけたくなかったので家でハンターハンター最新刊の漫画を読んでいた。クロロの幼少期の話がとても悲しく、また彼の知的さに衝撃を受けた。こんな話がかける富樫先生は本当にすごいと思う。ヒソカの髪を下した絵も大変綺麗だった。次が出るまでにまた時間がかかるから、もう一度読み直してみようと思った。,1778742,groupa,あてはまらない,あまりあてはまらない,どちらでもない,ややあてはまる,あてはまる
2024-10-02 12:50:55,2024-10-02 12:59:16,0,119.228.25.138,100,500,1,2024-10-02 12:59:17,R_4gIxgwRIOm60UEV,,,,,34.6922,135.1816,anonymous,JA,3,3,3,2,4,4,5,3,2,3,3,2,1,2,2,2,Chrome,129.0.0.0,Windows NT 10.0,1280x800,0,0,7.984,0,5,1.091,1.091,3.554,1,5,1.08,1.08,3.72,1,5,2.895,2.895,4.398,1,5,1.216,1.216,3.432,1,5,1.023,1.023,3.558,1,5,1.06,1.06,3.878,1,0,0,5.285,0,5,0.924,0.924,3.689,1,5,1.873,1.873,4.067,1,5,1.655,1.655,4.408,1,3.915,3.915,4.47,1,5,3.023,3.023,4.652,1,5,1.136,1.136,3.4,1,朝から腰痛で本当に最悪だったけど、チャットボットに愚痴を聞いてもらった感じがして、気持ちが少し楽になった。ズキンと痛む箇所がハッキリしているタイプの腰痛だから、結構治るまで時間が掛かりそう。加齢でどんどん治癒力も落ちているし、年は本当に取りたくない。あーあ、辛いけど午後からもマイペースで頑張るぞ。,5231896,groupb,あてはまらない,あまりあてはまらない,どちらでもない,ややあてはまる,あてはまる
2024-10-02 12:55:32,2024-10-02 12:59:39,0,60.122.39.180,100,247,1,2024-10-02 12:59:40,R_42QgjCzRUuykfSM,,,,,35.1926,136.906,anonymous,JA,1,4,1,1,1,4,3,3,1,1,2,1,1,1,1,1,Edge,129.0.0.0,Windows NT 10.0,1536x864,0,0,4.67,0,5,1.278,1.278,3.834,1,5,2.158,2.158,3.638,1,4,2.642,2.642,3.659,1,4,3.563,4.527,4.947,2,4,2.091,2.091,3.649,1,4,1.84,1.84,3.429,1,0,0,3.744,0,3,2.161,2.161,3.576,1,3,4.067,4.067,4.875,1,5,1.95,1.95,3.501,1,0,0,3.907,0,3,1.876,1.876,3.577,1,4,2.152,2.152,3.708,1,昨夜も次男が夜泣きを何度もしたけど、私自身心に余裕があったためか、落ち着いて対応できたと思う。朝は5時か6時に起きることが日常になったが、夫が毎回早く起きて面倒を見てくれるのでありがたいと思う。長男は朝眠そうだったが、大好きなフルーツがあると聞いてにこにこして起きてきたのでとてもかわいかった。,4999612,groupb,あてはまらない,あまりあてはまらない,どちらでもない,ややあてはまる,あてはまる
2024-10-02 12:54:34,2024-10-02 12:59:58,0,58.3.21.247,100,323,1,2024-10-02 12:59:59,R_4nGFRI6jlpXh5NL,,,,,32.8426,130.0444,anonymous,JA,5,4,1,3,4,5,4,4,1,1,3,1,1,1,1,1,Chrome,129.0.0.0,Linux x86_64,360x780,38.116,39.007,42.587,2,3,2.927,3.181,3.986,2,4,2.835,3.078,3.9,2,4,1.632,1.884,3.8,2,4,1.838,2.076,3.857,2,4,0.919,3.83,4.65,3,4,2.559,2.788,4.153,2,0,0,5.401,0,4,2.029,3.884,5.3,4,4,3.424,3.637,4.398,2,4,1.08,2.038,4.195,4,0,0,4.08,0,3,1.751,1.981,4.085,2,4,1.932,2.153,4.201,2,昼間に起きてやる気が出ないのと雨で外出できないので、ネットをすることにした。ショッピングで溜めていたものを買おうと思う。見れていなかったお気に入りのドラマやリアリティショーの続きも見ようと思う。グッズを買ってみたい。,にゃすも,groupa,あてはまらない,あまりあてはまらない,どちらでもない,ややあてはまる,あてはまる
2024-10-02 12:53:14,2024-10-02 13:00:06,0,36.8.244.19,100,411,1,2024-10-02 13:00:06,R_4CTDbRtIJwzmHpc,,,,,31.5344,130.7527,anonymous,JA,1,1,4,1,1,4,1,1,1,4,1,1,1,1,1,1,Chrome,129.0.0.0,Windows NT 10.0,1368x646,0,0,4.422,0,5,2.595,2.595,3.841,1,3,10.272,10.272,11.153,1,4,2.441,2.441,3.78,1,4,2.087,2.087,3.897,1,5,2.208,2.208,4.409,1,4,2.942,2.942,3.94,1,0,0,4.036,0,4,4.972,4.972,5.787,1,2,6.982,6.982,8.021,1,4,1.633,4.665,6.295,2,0,0,5.675,0,5,4.077,4.077,4.777,1,4,2.166,2.166,3.772,1,"今朝は3時に目が覚めた。
それで歯磨きしていつものようにパソコンを開いたら、先日応募した仕事の担当さんからメッセージが届いてるのを見つけ、びっくりした。
そこには仕事上、子育てしたことある人や、教育関係に携わったことがある人を希望してることや、ZOOMでの面接をしたいと書かれてあった。
私は子育ても教育関係の仕事の経験もなく、カメラやマイクもないのでウェブ会議はできないと正直に伝えた。
すると返事は来なかった。
仕方ないやと思って、また別のデータ入力の仕事に応募した。
そして、今日は雨でちょっと涼しくなり、過ごしやすい。
台風の影響かもしれないが、暑い時よりはましだと思う。
",3985102,groupb,あてはまらない,あまりあてはまらない,どちらでもない,ややあてはまる,あてはまる
2024-10-02 12:57:33,2024-10-02 13:01:07,0,60.96.67.93,100,213,1,2024-10-02 13:01:08,R_4MMt8CYj7mTMe67,,,,,34.7385,136.5207,anonymous,JA,4,4,3,3,2,3,2,2,5,5,4,5,3,3,5,3,Chrome,129.0.0.0,Windows NT 10.0,1920x1080,0,0,4.753,0,4,2.144,2.144,4.331,1,4,4.499,4.499,5.165,1,4,2.001,2.001,3.716,1,4,2.693,2.693,3.863,1,4,1.379,1.379,3.579,1,3,2.657,2.657,3.939,1,0,0,4.331,0,4,1.236,1.236,3.682,1,5,2.546,2.546,4.023,1,5,2.1,2.1,3.625,1,0,0,3.972,0,4,2.23,2.23,3.495,1,4,2.264,2.264,3.542,1,今朝は歯医者へ行きました。定期健診で、歯のクリーニングの為です。そして次の治療の予約をして帰りました。折れた歯の治療の為です。１ヶ月程かかるそうです。帰りにスーパーで夕飯の用意を購入して帰宅しました。今日も日向は眩しかったので日傘を使いました。,2977582,groupa,あてはまらない,あまりあてはまらない,どちらでもない,ややあてはまる,あてはまる
2024-10-02 12:54:52,2024-10-02 13:03:19,0,114.69.80.80,100,507,1,2024-10-02 13:03:19,R_4rSXhIYavfDCDoY,,,,,35.6865,139.7459,anonymous,JA,4,4,5,3,4,5,5,3,2,1,1,1,1,1,1,1,Safari iPhone,18.0,iPhone,375x667,9.684,21.003,26.637,5,5,0.921,4.054,4.556,4,5,1.089,4.756,5.359,6,5,0.942,4.608,5.291,5,5,5.071,6.206,7.691,3,5,1.645,5.611,6.264,5,5,1.886,3.752,4.721,3,8.351,8.351,11.468,1,5,1.595,3.411,4.049,3,5,0.763,3.879,5.248,4,5,1.6,3.65,4.353,3,0,0,8.977,0,5,2.457,4.791,5.525,4,5,2.001,4.718,5.337,5,夫とゆったりとした休日を過ごした。今日行ったお店は日曜日が定休日の久々に行くラーメン屋。最初は３種類しかラーメンが無かったのに、今は10種類以上もあってメニューに迷う。だけど、やっぱり久々だし、最初からある定番の手揉み醤油ラーメンにした。店主が手で揉んだ麺は、太さに多少ばらつきもあるちぢれ麺だがそれがまた良い。「これでいいんだよ」感のあるラーメンで美味しかった。そのあとはスタバに行った。一昨日新作が出たことを知って、チョコレート好きとしては気になっていたチョコレートムースラテ。甘すぎずちょうどいい感じだった。,ys15_cw,groupa,あてはまらない,あまりあてはまらない,どちらでもない,ややあてはまる,あてはまる
2024-10-02 12:57:27,2024-10-02 13:06:42,0,126.40.128.232,100,554,1,2024-10-02 13:06:43,R_4tEQ8bXbouZbxQZ,,,,,37.4051,140.3896,anonymous,JA,5,4,5,1,1,6,4,1,1,1,1,1,1,1,1,1,Chrome,129.0.0.0,Windows NT 10.0,1524x858,0,0,11.058,0,3,6.821,6.821,7.978,1,3,5.187,5.187,6.208,1,3,12.535,12.535,13.953,1,4,13.337,13.337,14.369,1,5,4.923,4.923,6.183,1,5,3.429,3.429,5.068,1,0,0,10.001,0,5,8.521,8.521,9.39,1,5,5.466,5.466,6.706,1,5,3.541,3.541,4.854,1,0,0,4.904,0,5,3.739,3.739,4.591,1,4,4.909,4.909,5.78,1,今日は、姪が遊びに来た。追いかけっこをして遊んだ。ドラえもんの玩具をプレゼントしたら喜んでいた。一緒に玩具で遊んだらとても盛り上がった。この前テレビ電話をした時は姪に泣かれたが、今回は平気だったようで安心した。去年はあまり喋られなかったのに、今年は言葉を覚えてたくさん喋っていた。子供の成長は早いと思った。,4173223,groupa,あてはまらない,あまりあてはまらない,どちらでもない,ややあてはまる,あてはまる
2024-10-02 12:57:55,2024-10-02 13:08:38,0,27.84.190.85,100,643,1,2024-10-02 13:08:39,R_4NX9VJG24k6ESIs,,,,,35.6984,139.4819,anonymous,JA,4,4,5,4,4,5,5,4,2,2,2,1,2,1,1,1,Chrome,129.0.0.0,Windows NT 10.0,1536x864,0,0,8.004,0,5,3.642,3.642,4.815,1,5,2.422,2.422,4.114,1,5,3.611,3.611,5.087,1,5,4.063,4.063,5.813,1,5,4.569,4.569,5.488,1,4,3.909,5.797,6.953,2,0,0,4.602,0,5,4.142,4.142,5.105,1,5,12.065,13.13,14.213,2,5,2.136,2.136,4.052,1,0,0,6.303,0,5,3.746,3.746,4.895,1,5,3.57,3.57,4.527,1,今日は久しぶりの快晴な日だった気がする。１０月に突入してまずは気分の良い滑り出しだと思いつつも気温が３０℃を超えているのでやれやれ感もあるかな。まだまだ暑い日があるのか少し不安も感じる。秋は好きな季節だが年々短くなっている気がするのだがどうだろうか。少しでも長く満喫できることを期待しよう。,4002112,groupc,あてはまらない,あまりあてはまらない,どちらでもない,ややあてはまる,あてはまる
2024-10-02 13:07:04,2024-10-02 13:09:02,0,106.155.5.159,100,118,1,2024-10-02 13:09:02,R_4WtXkirHXe76YJW,,,,,35.6837,139.6805,anonymous,JA,3,2,3,3,3,2,3,2,2,4,2,2,3,3,2,3,Chrome,129.0.0.0,Windows NT 10.0,1920x1080,0,0,7.4,0,5,2.181,2.181,3.708,1,5,1.406,1.406,3.664,1,5,3.457,3.457,4.182,1,5,1.838,1.838,3.862,1,5,1.689,1.689,3.77,1,5,1.463,1.463,3.567,1,0,0,8.059,0,3,2.799,2.799,3.705,1,5,2.438,3.542,4.211,2,3,3.627,3.627,4.578,1,0,0,4.106,0,4,2.735,2.735,3.773,1,5,2.45,2.45,3.745,1,"10月2日(水)
本日は、娘が学校、私も仕事です。
朝、子どもたちを学校へ送り出してから仕事を開始しました。
娘たちは、学校が終わり帰ってきてから16時頃から塾のため外出。
私は、家で引き続き仕事をしました。",quartet456,groupa,あてはまらない,あまりあてはまらない,どちらでもない,ややあてはまる,あてはまる
